,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ANALYSIS OF COMPRESSION MEMBERS,,,,,,,,,DESIGN OF COMPRESSION MEMBERS,,,,,,,,,,,,,,,,,,REF,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,ddet,bf,bfdet,tw,twdet,twdet/2,tf,tfdet,kdes,kdet,k1,bf/2tf,h/tw,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,Wno,rts,ho,Qw,,,PA,PB,PC,PD,T,WGi,WGo,EDI_Std_Nomenclature,AISC_Manual_Label,W,A,d,ddet,bf,bfdet,tw,twdet,twdet/2,tf,tfdet,kdes,kdet,k1,bf/2tf,h/tw,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,Wno,Sw1,Qf,Qw,rts,ho,PA,PB,PC,PD,T,WGi,WGo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PARAMETERS:,,,,,,,,,PARAMETERS:,,,,,,,,,,,,,,,,,,1,W44X408,W44X408,T,408,120,44.8,44  3/4 ,16.1,16  1/8 ,1.22,1  1/4 ,  5/8 ,2.17,2  3/16,2.96,3  3/8 ,1 13/16,3.71,31.9,38700,2000,1730,18.0,1520,297,189,3.56,134,691000,172,4.33,42.6,994,,,134,150,106,122,38      ,5  1/2 ,3    ,W1100X607,W1100X607,607,77400,1140,1140,409,410,31.0,31.8,15.9,55.1,55.6,75.2,85.7,46.0,3.71,31.9,16100,32800,28300,457,633,4870,3100,90.4,55800,186000,111000,624,5640,16300,110,1080,3400,3810,2690,3100,965,140,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shape Selection,,, W-SHAPES ,,,Reference:,9,,Dead Load,,DL,100,kips,,,,,,,,,,,,,,2,W44X368,W44X368,F,368,108,44.4,44  3/8 ,16.0,16      ,1.10,1  1/8 ,  9/16,1.97,2      ,2.76,3  3/16,1  3/4 ,4.06,35.4,34700,1800,1560,17.9,1350,265,169,3.54,100,608000,170,4.28,42.4,894,,,133,149,105,121,38      ,5  1/2 ,3    ,W1100X548,W1100X548,548,69700,1130,1130,406,406,27.9,28.6,14.3,50.0,50.8,70.1,81.0,44.5,4.06,35.4,14400,29500,25600,455,562,4340,2770,89.9,41600,163000,110000,558,5100,14700,109,1080,3380,3780,2670,3070,965,140,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AISC Manual Section,,,W40X503,,,,,,Live Load,,LL,100,kips,,,,,,,,,,,,,,3,W44X335,W44X335,F,335,98.5,44.0,44      ,15.9,16      ,1.030,1      ,  1/2 ,1.77,1  3/4 ,2.56,3      ,1  3/4 ,4.50,38.0,31100,1620,1410,17.8,1200,236,150,3.49,74.7,535000,168,4.24,42.2,805,,,132,148,104,120,38      ,5  1/2 ,3    ,W1100X499,W1100X499,499,63500,1120,1120,404,406,26.2,25.4,12.7,45.0,44.4,65.0,76.2,44.5,4.50,38.0,12900,26500,23100,452,499,3870,2460,88.6,31100,144000,108000,491,4560,13200,108,1070,3350,3760,2640,3050,965,140,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Modulus Elasticity,,,E,29000,ksi,,,,Length,x,x1,80,ft,,,,,,,,,,,,,,4,W44X290,W44X290,F,290,85.4,43.6,43  5/8 ,15.8,15  7/8 ,0.865,  7/8 ,  7/16,1.58,1  9/16,2.36,2 13/16,1  5/8 ,5.02,45.0,27000,1410,1240,17.8,1040,205,132,3.49,50.9,461000,166,4.20,42.0,701,,,131,147,103,119,38      ,5  1/2 ,3    ,W1100X433,W1100X433,433,55100,1110,1110,401,403,22.0,22.2,11.1,40.1,39.7,59.9,71.4,41.3,5.02,45.0,11200,23100,20300,452,433,3360,2160,88.6,21200,124000,107000,433,4060,11500,107,1070,3330,3730,2620,3020,965,140,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Area (Ag) ,,,Ag,148,in²,,,,,,x2,0,ft,,,,,,,,,,,,,,5,W44X262,W44X262,F,262,77.2,43.3,43  1/4 ,15.8,15  3/4 ,0.785, 13/16,  7/16,1.42,1  7/16,2.20,2  5/8 ,1  5/8 ,5.57,49.6,24100,1270,1110,17.7,923,182,117,3.47,37.3,405000,165,4.17,41.9,630,,,131,147,102,118,38      ,5  1/2 ,3    ,W1100X390,W1100X390,390,49800,1100,1100,401,400,19.9,20.6,11.1,36.1,36.5,55.9,66.7,41.3,5.57,49.6,10000,20800,18200,450,384,2980,1920,88.1,15500,109000,106000,386,3650,10300,106,1060,3330,3730,2590,3000,965,140,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Radius of Gyration,,,rx,16.8,in,,,,,,x3,0,ft,,,,,,,,,,,,,,6,W44X230,W44X230,F,230,67.8,42.9,42  7/8 ,15.8,15  3/4 ,0.710, 11/16,  3/8 ,1.22,1  1/4 ,2.01,2  7/16,1  9/16,6.45,54.8,20800,1100,971,17.5,796,157,101,3.43,24.9,346000,165,4.13,41.7,547,,,130,146,102,118,38      ,5  1/2 ,3    ,W1100X343,W1100X343,343,43700,1090,1090,401,400,18.0,17.5,9.52,31.0,31.8,51.1,61.9,39.7,6.45,54.8,8660,18000,15900,445,331,2570,1660,87.1,10400,92900,106000,330,3150,8960,105,1060,3300,3710,2590,3000,965,140,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ry,3.72,in,,,,,,x4,0,ft,,,,,,,,,,,,,,7,W40X655,W40X655,T,655,193,43.6,43  5/8 ,16.9,16  7/8 ,1.97,2      ,1      ,3.54,3  9/16,4.72,4 13/16,2  3/16,2.39,17.3,56500,3080,2590,17.1,2870,542,340,3.86,589,1150000,169,4.71,40.1,1530,,,132,149,104,121,34      ,7  1/2 ,3    ,W1000X976,W1000X976,976,125000,1110,1110,429,429,50.0,50.8,25.4,89.9,90.5,120,122,55.6,2.39,17.3,23500,50500,42500,434,1190,8880,5570,98.0,245000,309000,109000,1050,8670,25100,120,1020,3350,3780,2640,3070,864,191,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Compact Section Criteria,,,λf = bf/2tf,2.98,,,,,,,x5,0,ft,,,,,,,,,,,,,,8,W40X593,W40X593,T,593,174,43.0,43      ,16.7,16  3/4 ,1.79,1 13/16, 15/16,3.23,3  1/4 ,4.41,4  1/2 ,2  1/8 ,2.58,19.1,50400,2760,2340,17.0,2520,481,302,3.80,445,997000,166,4.63,39.8,1370,,,130,147,103,120,34      ,7  1/2 ,3    ,W1000X883,W1000X883,883,112000,1090,1090,424,425,45.5,46.0,23.8,82.0,82.6,112,114,54.0,2.58,19.1,21000,45200,38300,432,1050,7880,4950,96.5,185000,268000,107000,932,7850,22500,118,1010,3300,3730,2620,3050,864,191,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,λw = h/tw,22.3,,,,,,y,y1,40,ft,,,,,,,,,,,,,,9,W40X503,W40X503,T,503,148,42.1,42      ,16.4,16  3/8 ,1.54,1  9/16, 13/16,2.76,2  3/4 ,3.94,4      ,2      ,2.98,22.3,41600,2320,1980,16.8,2040,394,249,3.72,277,789000,161,4.50,39.3,1150,,,129,145,101,117,34      ,7  1/2 ,3    ,W1000X748,W1000X748,748,95500,1070,1070,417,416,39.1,39.7,20.6,70.1,69.8,100,102,50.8,2.98,22.3,17300,38000,32400,427,849,6460,4080,94.5,115000,212000,104000,762,6600,18800,114,998,3280,3680,2570,2970,864,191,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Length,,x,x1,70,ft,,,,,,y2,40,ft,,,,,,,,,,,,,,10,W40X431,W40X431,T,431,127,41.3,41  1/4 ,16.2,16  1/4 ,1.34,1  5/16, 11/16,2.36,2  3/8 ,3.54,3  5/8 ,1  7/8 ,3.44,25.5,34800,1960,1690,16.6,1690,328,208,3.65,177,638000,158,4.41,38.9,969,,,127,143,98.8,115,34      ,7  1/2 ,3    ,W1000X642,W1000X642,642,81900,1050,1050,411,413,34.0,33.3,17.5,59.9,60.3,89.9,92.1,47.6,3.44,25.5,14500,32100,27700,422,703,5370,3410,92.7,73700,171000,102000,629,5590,15900,112,988,3230,3630,2510,2920,864,191,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
