Type,EDI_Std_Nomenclature,AISC_Manual_Label,Design Wall Thickness,Nominal Weight,"Area, A","Depth, d",,Web/Stem,,,,Flange,,,,Distance,,,,,,Shear Critical,Compact Section Criteria,,,b/t,h/t,D/t,Axis X - X,,,,,,Axis Y - Y,,,,,,Axis Z - Z,,,,rts,ho,J/Sxho,Workable Flat,,Torsional Properties,,,,, Surface Area 
,,,,,,,,,,,,,,,,k,,k1,T,Workable Gage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,t,W,,,,"Thickness, tw",,tw/2,Area,"Width, bf",,"Thickness, tf",,kdes,kdet,,,WGi,WGo,eo,,,,,,,I,S,r,y?,Z,yp,I,S,r,x?,Z,xp,I,S,r,tan ?,,,,Depth,Width,J,C,Cw,r?o,H,
,,,in.,lb/ft,in.2,in.,,in.,,in.,in.2,in.,,in.,,in.,,in.,in.,in.,in.,in.,bf/2tf,h/tw,d/tw,,,,in.4,in.3,in.,in.,in.3,in.,in.4,in.3,in.,in.,in.3,in.,in.4,in.3,in.,,in.,in.,,in.,in.,in.4,in.3,in.6,in.,, ft2/ft 
W,W44X335,W44X335,–,335,98.5,44.0,44      ,1.030,1      ,  1/2 ,–,15.9,16      ,1.77,1  3/4 ,2.56,3      ,1  3/4 ,38      ,5  1/2 ,3    ,–,4.50,38.0,–,–,–,–,31100,1410,17.8,–,1620,–,1200,150,3.49,–,236,–,–,–,–,–,4.24,42.2,0.001255,–,–,74.7,–,535000,–,–,–
W,W44X290,W44X290,–,290,85.4,43.6,43  5/8 ,0.865,  7/8 ,  7/16,–,15.8,15  7/8 ,1.58,1  9/16,2.36,2 13/16,1  5/8 ,38      ,5  1/2 ,3    ,–,5.02,45.0,–,–,–,–,27000,1240,17.8,–,1410,–,1040,132,3.49,–,205,–,–,–,–,–,4.20,42.0,0.000977,–,–,50.9,–,461000,–,–,–
W,W44X262,W44X262,–,262,77.2,43.3,43  1/4 ,0.785, 13/16,  7/16,–,15.8,15  3/4 ,1.42,1  7/16,2.20,2  5/8 ,1  5/8 ,38      ,5  1/2 ,3    ,–,5.57,49.6,–,–,–,–,24100,1110,17.7,–,1270,–,923,117,3.47,–,182,–,–,–,–,–,4.17,41.9,0.000802,–,–,37.3,–,405000,–,–,–
W,W44X230,W44X230,–,230,67.8,42.9,42  7/8 ,0.710, 11/16,  3/8 ,–,15.8,15  3/4 ,1.22,1  1/4 ,2.01,2  7/16,1  9/16,38      ,5  1/2 ,3    ,–,6.45,54.8,–,–,–,–,20800,971,17.5,–,1100,–,796,101,3.43,–,157,–,–,–,–,–,4.13,41.7,0.000615,–,–,24.9,–,346000,–,–,–
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W40X655,W40X655,–,655,193,43.6,43  5/8 ,1.97,2      ,1      ,–,16.9,16  7/8 ,3.54,3  9/16,4.72,4 13/16,2  3/16,34      ,7  1/2 ,3    ,–,2.39,17.3,–,–,–,–,56500,2590,17.1,–,3080,–,2870,340,3.86,–,542,–,–,–,–,–,4.71,40.1,0.005671,–,–,589,–,1150000,–,–,–
W,W40X593,W40X593,–,593,174,43.0,43      ,1.79,1 13/16, 15/16,–,16.7,16  3/4 ,3.23,3  1/4 ,4.41,4  1/2 ,2  1/8 ,34      ,7  1/2 ,3    ,–,2.58,19.1,–,–,–,–,50400,2340,17.0,–,2760,–,2520,302,3.80,–,481,–,–,–,–,–,4.63,39.8,0.004778,–,–,445,–,997000,–,–,–
