REF,SECTION,Zx,Ix,,,
1,W36X925,4130,73000,,,
2,W36X853,3920,70000,,,
3,W36X802,3660,64800,,,
4,W36X723,3270,57300,,,
5,W40X655,3080,56500,,,
6,W36X652,2910,50600,,,
7,W40X593,2760,50400,,,
8,W36X529,2330,39600,,,
9,W40X503,2320,41600,,,
10,W36X487,2130,36000,,,
11,W40X431,1960,34800,,,
12,W40X397,1800,32000,,,
13,W40X392,1710,29900,,,
14,W40X372,1680,29600,,,
15,W40X362,1640,28900,,,
16,W44X335,1620,31100,,,
17,W40X324,1460,25600,,,
18,W44X290,1410,27000,,,
19,W44X262,1270,24100,,,
20,W40X249,1120,19600,,,
21,W44X230,1100,20800,,,
22,W40X215,964,16700,,,
23,W40X211,906,15500,,,
24,W40X199,869,14900,,,
25,W40X183,774,13200,,,
26,W36X182,718,11300,,,
27,W40X167,693,11600,,,
28,W36X160,624,9760,,,
29,W40X149,598,9800,,,
30,W33X141,514,7450,,,
31,W36X135,509,7800,,,
32,W33X130,467,6710,,,
33,W33X118,415,5900,,,
34,W30X116,378,4930,,,
35,W30X108,346,4470,,,
36,W30X99,312,3990,,,
37,W30X90,283,3610,,,
38,W27X84,244,2850,,,
39,W24X84,224,2370,,,
40,W24X76,200,2100,,,
41,W24X68,177,1830,,,
42,W21X68,160,1480,,,
43,W24X62,153,1550,,,
44,W21X62,144,1330,,,
45,W24X55,134,1550,,,
46,W21X55,126,1140,,,
47,W18X55,112,890,,,
48,W21X50,110,984,,,
49,W21X48,107,959,,,
50,W21X44,95.4,843,,,
51,W18X40,78.4,612,,,
52,W16X40,73.0,518,,,
53,W18X35,66.5,510,,,
54,W14x34,54.6,340,,,
55,W16X31,54.0,375,,,
56,W14x30,47.3,291,,,
57,W16X26,44.2,301,,,
58,W14x26,40.2,245,,,
59,W12x26,37.2,204,,,
60,W14x22,33.2,199,,,
61,W12x22,29.3,156,,,
62,W10x22,26,118,,,
63,W12x19,24.7,96.3,,,
64,W10x19,21.6,96.3,,,
65,W12x16,20.1,103,,,
66,W12x14,17.4,88.6,,,
67,W10x12,12.6,53.8,,,
68,W8x10,8.87,30.8,,,
